symbol,timeframe,filter_tf,side,entry_time,entry_price,tp,sl,exit_time,exit_price,outcome,pnl_pct
ADAUSDT,15M,4H,SHORT,2025-12-11 23:00:00,0.4249,0.41,0.4382,2025-12-12 15:00:00,0.41,TP,3.5067074605789657
ADAUSDT,15M,4H,SHORT,2025-12-13 12:00:00,0.4118,0.4035,0.4151,2025-12-14 11:00:00,0.4035,TP,2.0155415250121353
ADAUSDT,15M,4H,SHORT,2025-12-13 15:00:00,0.4127,0.4079,0.4151,2025-12-13 21:00:00,0.4079,TP,1.1630724497213536
ADAUSDT,15M,4H,SHORT,2025-12-13 16:00:00,0.4118,0.4079,0.4151,2025-12-13 21:00:00,0.4079,TP,0.9470616804273955
ADAUSDT,15M,4H,SHORT,2025-12-13 23:00:00,0.4104,0.4059,0.4151,2025-12-14 09:00:00,0.4059,TP,1.0964912280701764
ADAUSDT,15M,4H,SHORT,2025-12-15 03:00:00,0.4011,0.3919,0.4091,2025-12-15 14:00:00,0.3919,TP,2.2936923460483634
ADAUSDT,15M,4H,SHORT,2025-12-15 11:00:00,0.4028,0.3919,0.4063,2025-12-15 14:00:00,0.3919,TP,2.7060575968222356
ADAUSDT,15M,4H,SHORT,2025-12-20 16:00:00,0.3762,0.372,0.38,2025-12-21 00:00:00,0.372,TP,1.116427432216901
DOGEUSDT,15M,4H,SHORT,2025-12-19 07:00:00,0.12789,0.12535,0.1306,2025-12-19 15:00:00,0.1306,SL,-2.119008522949402
DOGEUSDT,15M,4H,SHORT,2025-12-19 09:00:00,0.12792,0.12535,0.1306,2025-12-19 15:00:00,0.1306,SL,-2.0950594121325734
DOGEUSDT,15M,4H,SHORT,2025-12-21 10:00:00,0.13186,0.1305,0.1384,2025-12-21 13:00:00,0.1305,TP,1.0313969361443955
DOGEUSDT,15M,4H,SHORT,2025-12-21 11:00:00,0.13169,0.1305,0.1384,2025-12-21 13:00:00,0.1305,TP,0.9036373300933986
SOLUSDT,15M,4H,SHORT,2025-12-11 17:00:00,132.23,129.05,138.57,2025-12-11 18:00:00,129.05,TP,2.4049005520683493
SOLUSDT,15M,4H,SHORT,2025-12-13 16:00:00,133.09,130.27,134.12,2025-12-14 00:00:00,130.27,TP,2.1188669321511706
SOLUSDT,15M,4H,SHORT,2025-12-14 07:00:00,133.17,128.0,133.93,2025-12-15 14:00:00,133.93,SL,-0.5706991064053611
SOLUSDT,15M,4H,SHORT,2025-12-15 01:00:00,131.03,128.03,133.36,2025-12-15 14:00:00,133.36,SL,-1.7782187285354596
SOLUSDT,15M,4H,SHORT,2025-12-15 03:00:00,131.07,128.03,133.36,2025-12-15 14:00:00,133.36,SL,-1.7471580071717558
SOLUSDT,15M,4H,SHORT,2025-12-19 17:00:00,123.96,109.0,132.17,2025-12-20 11:00:00,132.17,SL,-6.6231042271700495
SOLUSDT,15M,4H,SHORT,2025-12-20 18:00:00,125.95,120.0,138.7,2025-12-22 01:00:00,126.9,OPEN,0.0
SOLUSDT,15M,4H,SHORT,2025-12-21 11:00:00,125.42,122.0,138.7,2025-12-22 01:00:00,126.9,OPEN,0.0
SOLUSDT,15M,4H,SHORT,2025-12-21 16:00:00,125.37,123.51,126.45,2025-12-22 00:00:00,126.45,SL,-0.8614501076812621
DOTUSDT,15M,4H,SHORT,2025-12-13 22:00:00,2.033,2.016,2.052,2025-12-14 05:00:00,2.016,TP,0.8362026561731385
